id,suhu,humidity,gas,created_at
53594,31.6,74.0,1829000.0,2026-05-04 15:01:13
53595,31.6,74.0,1928860.0,2026-05-04 15:01:14
53596,31.5,74.0,1861570.0,2026-05-04 15:01:16
53597,31.5,74.0,1928860.0,2026-05-04 15:01:18
53598,31.5,75.0,1928860.0,2026-05-04 15:01:20
53599,31.5,75.0,2035480.0,2026-05-04 15:01:22
53600,31.5,74.0,3632280.0,2026-05-04 15:01:24
53601,31.5,75.0,1928860.0,2026-05-04 15:01:26
53602,31.5,75.0,2072620.0,2026-05-04 15:01:28
53603,31.4,75.0,1765940.0,2026-05-04 15:01:30
53604,31.4,75.0,38355100.0,2026-05-04 15:01:32
53605,31.4,75.0,304831.0,2026-05-04 15:01:34
53606,31.4,75.0,1438590.0,2026-05-04 15:01:36
53607,31.4,75.0,1538780.0,2026-05-04 15:01:38
53608,31.4,75.0,1346210.0,2026-05-04 15:01:40
53609,31.4,75.0,1438590.0,2026-05-04 15:01:42
53610,31.3,75.0,1462870.0,2026-05-04 15:01:44
53611,31.3,75.0,1619530.0,2026-05-04 15:01:46
53612,31.3,75.0,1462870.0,2026-05-04 15:01:48
53613,31.3,75.0,1462870.0,2026-05-04 15:01:50
53614,31.3,75.0,1462870.0,2026-05-04 15:01:52
53615,31.3,75.0,1462870.0,2026-05-04 15:01:53
53616,31.3,75.0,1462870.0,2026-05-04 15:01:54
53617,31.3,75.0,1487660.0,2026-05-04 15:01:55
53618,31.3,75.0,1462870.0,2026-05-04 15:01:56
53619,31.3,75.0,1324250.0,2026-05-04 15:01:57
53620,31.3,75.0,1391470.0,2026-05-04 15:01:59
53621,31.3,75.0,1414790.0,2026-05-04 15:02:00
53622,31.3,75.0,1462870.0,2026-05-04 15:02:01
53623,31.2,75.0,1619530.0,2026-05-04 15:02:02
53624,31.2,75.0,1829000.0,2026-05-04 15:02:05
53625,31.2,75.0,1861570.0,2026-05-04 15:02:06
53626,31.2,75.0,1487660.0,2026-05-04 15:02:06
53627,31.2,75.0,1592050.0,2026-05-04 15:02:11
53628,31.2,75.0,1963620.0,2026-05-04 15:02:13
53629,31.2,76.0,8188.95,2026-05-04 15:02:14
53630,31.2,76.0,1647590.0,2026-05-04 15:02:16
53631,31.2,76.0,2072620.0,2026-05-04 15:02:18
53632,31.2,76.0,1538780.0,2026-05-04 15:02:23
53633,31.2,77.0,1462870.0,2026-05-04 15:02:24
53634,31.2,77.0,1538780.0,2026-05-04 15:02:25
53635,31.2,77.0,1462870.0,2026-05-04 15:02:26
53636,31.2,77.0,1346210.0,2026-05-04 15:02:27
53637,31.2,77.0,1041480.0,2026-05-04 15:02:30
53638,31.2,77.0,1324250.0,2026-05-04 15:02:31
53639,31.2,77.0,1201220.0,2026-05-04 15:02:32
53640,31.2,77.0,1346210.0,2026-05-04 15:02:35
53641,31.2,77.0,1109100.0,2026-05-04 15:02:39
53642,31.2,77.0,1302720.0,2026-05-04 15:02:40
53643,31.2,77.0,1144890.0,2026-05-04 15:02:41
53644,31.2,77.0,1324250.0,2026-05-04 15:02:43
53645,31.2,77.0,1346210.0,2026-05-04 15:02:44
53646,31.2,77.0,1182080.0,2026-05-04 15:02:45
53647,31.2,77.0,1163300.0,2026-05-04 15:02:47
53648,31.2,77.0,1240630.0,2026-05-04 15:02:48
53649,31.2,77.0,1220730.0,2026-05-04 15:02:49
53650,31.2,77.0,1220730.0,2026-05-04 15:02:50
53651,31.1,78.0,1182080.0,2026-05-04 15:02:53
53652,31.1,77.0,949081.0,2026-05-04 15:02:56
53653,31.1,77.0,978747.0,2026-05-04 15:02:57
53654,31.1,77.0,920484.0,2026-05-04 15:02:59
53655,31.1,77.0,879494.0,2026-05-04 15:03:01
53656,31.1,77.0,949081.0,2026-05-04 15:03:02
53657,31.1,77.0,828173.0,2026-05-04 15:03:03
53658,31.1,77.0,694240.0,2026-05-04 15:03:06
53659,31.1,77.0,803853.0,2026-05-04 15:03:07
53660,31.1,77.0,714671.0,2026-05-04 15:03:08
53661,31.1,77.0,803853.0,2026-05-04 15:03:12
53662,31.1,77.0,815905.0,2026-05-04 15:03:14
53663,31.1,77.0,714671.0,2026-05-04 15:03:15
53664,31.1,78.0,704368.0,2026-05-04 15:03:18
53665,31.1,78.0,694240.0,2026-05-04 15:03:19
53666,31.1,77.0,684283.0,2026-05-04 15:03:21
53667,31.1,77.0,694240.0,2026-05-04 15:03:22
53668,31.1,77.0,714671.0,2026-05-04 15:03:24
53669,31.1,78.0,803853.0,2026-05-04 15:03:26
53670,31.1,78.0,746668.0,2026-05-04 15:03:28
53671,31.1,78.0,757709.0,2026-05-04 15:03:29
53672,31.1,78.0,757709.0,2026-05-04 15:03:30
53673,31.1,78.0,803853.0,2026-05-04 15:03:31
53674,31.1,78.0,934652.0,2026-05-04 15:03:35
53675,31.1,78.0,892910.0,2026-05-04 15:03:36
53676,31.1,78.0,853374.0,2026-05-04 15:03:37
53677,31.1,78.0,768943.0,2026-05-04 15:03:39
53678,31.1,79.0,704368.0,2026-05-04 15:03:40
53679,31.1,79.0,780376.0,2026-05-04 15:03:43
53680,31.1,79.0,735818.0,2026-05-04 15:03:44
53681,31.1,79.0,815905.0,2026-05-04 15:03:51
53682,31.1,79.0,684283.0,2026-05-04 15:03:52
53683,31.1,79.0,627959.0,2026-05-04 15:03:53
53684,31.1,79.0,593434.0,2026-05-04 15:03:55
53685,31.1,79.0,674495.0,2026-05-04 15:03:59
53686,31.1,79.0,601852.0,2026-05-04 15:04:00
53687,31.1,79.0,636956.0,2026-05-04 15:04:01
53688,31.1,79.0,530837.0,2026-05-04 15:04:02
53689,31.1,79.0,601852.0,2026-05-04 15:04:04
53690,31.1,79.0,577010.0,2026-05-04 15:04:06
53691,31.1,79.0,561115.0,2026-05-04 15:04:07
53692,31.1,79.0,553360.0,2026-05-04 15:04:08
53693,31.1,79.0,627959.0,2026-05-04 15:04:10
53694,31.1,79.0,853374.0,2026-05-04 15:04:14
53695,31.1,79.0,593434.0,2026-05-04 15:04:15
53696,31.1,79.0,601852.0,2026-05-04 15:04:16
53697,31.1,79.0,684283.0,2026-05-04 15:04:19
53698,31.1,79.0,568997.0,2026-05-04 15:04:20
53699,31.1,79.0,610410.0,2026-05-04 15:04:21
53700,31.1,79.0,593434.0,2026-05-04 15:04:22
53701,31.1,79.0,627959.0,2026-05-04 15:04:25
53702,31.1,79.0,627959.0,2026-05-04 15:04:27
53703,31.1,79.0,389513.0,2026-05-04 15:04:29
53704,31.1,79.0,610410.0,2026-05-04 15:04:31
53705,31.1,78.0,561115.0,2026-05-04 15:04:32
53706,31.1,79.0,636956.0,2026-05-04 15:04:35
53707,31.1,79.0,610410.0,2026-05-04 15:04:36
53708,31.1,79.0,674495.0,2026-05-04 15:04:39
53709,31.1,79.0,627959.0,2026-05-04 15:04:41
53710,31.1,78.0,601852.0,2026-05-04 15:04:45
53711,31.1,78.0,664871.0,2026-05-04 15:04:47
53712,31.1,79.0,646105.0,2026-05-04 15:04:48
53713,31.1,79.0,636956.0,2026-05-04 15:04:49
53714,31.1,78.0,646105.0,2026-05-04 15:04:50
53715,31.1,78.0,636956.0,2026-05-04 15:04:53
53716,31.1,78.0,664871.0,2026-05-04 15:04:54
53717,31.1,78.0,664871.0,2026-05-04 15:04:56
53718,31.1,78.0,684283.0,2026-05-04 15:04:57
53719,31.1,78.0,627959.0,2026-05-04 15:04:58
53720,31.1,78.0,664871.0,2026-05-04 15:04:59
53721,31.1,78.0,704368.0,2026-05-04 15:05:00
53722,31.1,78.0,815905.0,2026-05-04 15:05:03
53723,31.1,78.0,674495.0,2026-05-04 15:05:04
53724,31.1,78.0,684283.0,2026-05-04 15:05:07
53725,31.1,78.0,714671.0,2026-05-04 15:05:08
53726,31.1,78.0,636956.0,2026-05-04 15:05:11
53727,31.1,78.0,655409.0,2026-05-04 15:05:13
53728,31.1,78.0,674495.0,2026-05-04 15:05:14
53729,31.1,78.0,561115.0,2026-05-04 15:05:15
53730,31.1,78.0,553360.0,2026-05-04 15:05:18
53731,31.1,78.0,538224.0,2026-05-04 15:05:19
53732,31.1,78.0,538224.0,2026-05-04 15:05:20
53733,31.1,78.0,568997.0,2026-05-04 15:05:22
53734,31.1,78.0,553360.0,2026-05-04 15:05:24
53735,31.0,78.0,545731.0,2026-05-04 15:05:26
53736,31.0,78.0,516416.0,2026-05-04 15:05:27
53737,31.0,78.0,450808.0,2026-05-04 15:05:30
53738,31.0,78.0,516416.0,2026-05-04 15:05:31
53739,31.0,78.0,463116.0,2026-05-04 15:05:33
53740,31.0,78.0,482317.0,2026-05-04 15:05:34
53741,31.0,78.0,450808.0,2026-05-04 15:05:36
53742,31.0,78.0,444797.0,2026-05-04 15:05:38
53743,31.0,78.0,502450.0,2026-05-04 15:05:39
53744,31.0,78.0,469416.0,2026-05-04 15:05:40
53745,31.0,78.0,463116.0,2026-05-04 15:05:41
53746,31.0,78.0,475816.0,2026-05-04 15:05:44
53747,31.0,78.0,450808.0,2026-05-04 15:05:45
53748,31.0,78.0,456914.0,2026-05-04 15:05:47
53749,31.0,78.0,488922.0,2026-05-04 15:05:50
53750,31.0,78.0,463116.0,2026-05-04 15:05:51
53751,31.0,78.0,438878.0,2026-05-04 15:05:52
53752,31.0,78.0,509377.0,2026-05-04 15:05:56
53753,31.0,79.0,469416.0,2026-05-04 15:05:57
53754,31.0,78.0,475816.0,2026-05-04 15:06:00
53755,31.0,79.0,538224.0,2026-05-04 15:06:11
53756,31.0,79.0,538224.0,2026-05-04 15:06:12
53757,31.0,79.0,509377.0,2026-05-04 15:06:13
53758,31.0,79.0,516416.0,2026-05-04 15:06:19
53759,31.0,79.0,509377.0,2026-05-04 15:06:20
53760,31.0,79.0,463116.0,2026-05-04 15:06:21
53761,31.0,79.0,530837.0,2026-05-04 15:06:24
53762,31.0,78.0,502450.0,2026-05-04 15:06:27
53763,31.0,78.0,553360.0,2026-05-04 15:06:30
53764,31.0,78.0,553360.0,2026-05-04 15:06:31
53765,31.0,78.0,475816.0,2026-05-04 15:06:32
53766,31.0,78.0,502450.0,2026-05-04 15:06:36
53767,31.0,78.0,438878.0,2026-05-04 15:06:37
53768,31.0,78.0,369649.0,2026-05-04 15:06:41
53769,31.0,78.0,355513.0,2026-05-04 15:06:44
53770,31.0,78.0,389513.0,2026-05-04 15:06:45
53771,31.0,78.0,360155.0,2026-05-04 15:06:48
53772,31.0,78.0,369649.0,2026-05-04 15:06:50
53773,31.0,78.0,350940.0,2026-05-04 15:06:51
53774,31.0,78.0,360155.0,2026-05-04 15:06:53
53775,31.0,78.0,346434.0,2026-05-04 15:06:56
53776,31.0,78.0,337619.0,2026-05-04 15:06:58
53777,31.0,78.0,333308.0,2026-05-04 15:07:00
53778,31.0,78.0,360155.0,2026-05-04 15:07:05
53779,31.0,78.0,350940.0,2026-05-04 15:07:06
53780,31.0,78.0,360155.0,2026-05-04 15:07:07
53781,31.0,78.0,355513.0,2026-05-04 15:07:09
53782,31.0,78.0,320747.0,2026-05-04 15:07:12
53783,31.0,78.0,286183.0,2026-05-04 15:07:13
53784,31.0,78.0,341994.0,2026-05-04 15:07:14
53785,31.0,78.0,329059.0,2026-05-04 15:07:15
53786,31.0,78.0,350940.0,2026-05-04 15:07:17
53787,31.0,78.0,286183.0,2026-05-04 15:07:18
53788,31.0,78.0,282611.0,2026-05-04 15:07:23
53789,31.0,78.0,337619.0,2026-05-04 15:07:25
53790,31.0,78.0,297211.0,2026-05-04 15:07:26
53791,31.0,78.0,333308.0,2026-05-04 15:07:27
53792,31.0,78.0,312673.0,2026-05-04 15:07:28
53793,31.0,79.0,333308.0,2026-05-04 15:07:29
53794,31.0,78.0,304831.0,2026-05-04 15:07:35
53795,31.0,78.0,286183.0,2026-05-04 15:07:37
53796,31.0,78.0,262210.0,2026-05-04 15:07:44
53797,31.0,78.0,333308.0,2026-05-04 15:07:45
53798,31.0,78.0,5500270.0,2026-05-04 15:07:48
53799,31.0,78.0,262210.0,2026-05-04 15:07:49
53800,31.0,78.0,289807.0,2026-05-04 15:07:56
53801,31.0,78.0,289807.0,2026-05-04 15:07:57
53802,31.0,78.0,282611.0,2026-05-04 15:07:58
53803,31.0,78.0,289807.0,2026-05-04 15:08:00
53804,31.0,78.0,289807.0,2026-05-04 15:08:04
53805,31.0,78.0,297211.0,2026-05-04 15:08:05
53806,31.0,78.0,252638.0,2026-05-04 15:08:06
53807,31.0,78.0,304831.0,2026-05-04 15:08:07
53808,31.0,78.0,346434.0,2026-05-04 15:08:08
53809,31.0,78.0,293482.0,2026-05-04 15:08:13
53810,31.0,78.0,316681.0,2026-05-04 15:08:14
53811,31.0,78.0,337619.0,2026-05-04 15:08:15
53812,31.0,78.0,341994.0,2026-05-04 15:08:16
53813,31.0,79.0,337619.0,2026-05-04 15:08:17
53814,31.0,79.0,320747.0,2026-05-04 15:08:18
